name,canon_percentage,fanfiction_percentage
Harry Potter,28.35771773928133,25.926886490636863
Ron Weasley,9.669987732998236,6.490124984003752
Hermione Granger,8.206923376118241,21.711214435012585
Albus Dumbledore,3.6217574723992466,1.7697393678283498
Rubeus Hagrid,3.027855069862071,0.12660495670349355
Severus Snape,2.9261287137599856,8.640702981700295
Voldemort,2.688268557580109,3.387109158384166
Sirius Black,2.200580438620112,8.102546602397304
Draco Malfoy,1.7921790383867396,18.863626668941688
